School,Year,Phase,Vacancy,Applied,Taken,Balloting,Application Rate
Kuo Chuan Presbyterian Primary School,2009,1,240,80,80,,0.333333333
Lakeside Primary School,2009,1,300,109,109,,0.363333333
Lianhua Primary School,2009,1,180,72,72,,0.4
Maha Bodhi School,2009,1,330,141,141,,0.427272727
Maris Stella High School,2009,1,320,84,84,,0.2625
Marsiling Primary School,2009,1,270,81,81,,0.3
Marymount Convent School,2009,1,240,40,40,,0.166666667
Mayflower Primary School,2009,1,210,51,51,,0.242857143
Mee Toh School,2009,1,300,154,154,,0.513333333
Meridian Primary School,2009,1,210,70,70,,0.333333333
Methodist Girls' School (Primary),2009,1,210,65,65,,0.30952381
Montfort Junior School,2009,1,240,31,31,,0.129166667
Nan Chiau Primary School,2009,1,300,125,125,,0.416666667
Nan Hua Primary School,2009,1,240,82,82,,0.341666667
Nanyang Primary School,2009,1,390,176,176,,0.451282051
Naval Base Primary School,2009,1,210,50,50,,0.238095238
New Town Primary School,2009,1,270,63,63,,0.233333333
Ngee Ann Primary School,2009,1,240,81,81,,0.3375
